epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.24339,1.35333,3.16469,1.55263,0.73221,0.56829,0.61768,0.46464,1.55276,1.45611,1.20267,0,0,0
2,5.83385,1.34866,3.91571,1.48528,0.73221,0.56829,0.61768,0.46464,1.55276,1.45611,1.20267,3.18127e-05,3.18127e-05,3.18127e-05
3,8.56548,1.2683,3.26495,1.55123,0.73221,0.56829,0.61768,0.46464,1.55276,1.45611,1.20267,4.79173e-05,4.79173e-05,4.79173e-05
4,11.8228,1.2718,3.57423,1.69883,0.59917,0.68333,0.61718,0.4499,1.49918,1.52323,1.19317,4.8314e-05,4.8314e-05,4.8314e-05
5,14.4545,1.36536,3.32826,1.53688,0.59917,0.68333,0.61718,0.4499,1.49918,1.52323,1.19317,2.4752e-05,2.4752e-05,2.4752e-05
